x,numerical_real,numerical_imag,exact,error_abs
-8.0000000000000000e+00,-1.5987580871042387e-10,-1.8367575128157121e-14,9.5123782432575298e-15,1.5988532214369774e-10
-7.9900062460961898e+00,-1.5954542037701026e-10,-1.2243716289188340e-11,1.0303606886800393e-14,1.6002480321686287e-10
-7.9800124921923796e+00,-1.5854691987640212e-10,-2.4416895194988302e-11,1.1159534400249766e-14,1.6042708411426467e-10
-7.9700187382885694e+00,-1.5688395890345701e-10,-3.6486960063135838e-11,1.2085357297792242e-14,1.6108279535481620e-10
-7.9600249843847593e+00,-1.5456276346700488e-10,-4.8403820364655307e-11,1.3086681680397272e-14,1.6197723073037958e-10
-7.9500312304809491e+00,-1.5159247505310751e-10,-6.0117639362573253e-11,1.4169554883853541e-14,1.6309109494948586e-10
-7.9400374765771389e+00,-1.4798505655287476e-10,-7.1579894292288758e-11,1.5340499521247043e-14,1.6440133452792319e-10
-7.9300437226733296e+00,-1.4375526060664445e-10,-8.2742797506941886e-11,1.6606550097028690e-14,1.6588164553382785e-10
-7.9200499687695194e+00,-1.3892042642397258e-10,-9.3560052867902212e-11,1.7975292382616972e-14,1.6750332224806752e-10
-7.9100562148657092e+00,-1.3350035097464995e-10,-1.0398653240402092e-10,1.9454905757173327e-14,1.6923574528968193e-10
-7.9000624609618990e+00,-1.2751696685028752e-10,-1.1397871913680429e-10,2.1054208731854237e-14,1.7104705560668792e-10
-7.8900687070580888e+00,-1.2099465755798606e-10,-1.2349503952028210e-10,2.2782707891523904e-14,1.7290530828930986e-10
-7.8800749531542786e+00,-1.1396025759548165e-10,-1.3249588306701938e-10,2.4650650504703224e-14,1.7477905577487025e-10
-7.8700811992504685e+00,-1.0644257977365246e-10,-1.4094317237935568e-10,2.6669081070486066e-14,1.7663713876771694e-10
-7.8600874453466583e+00,-9.8472734417771819e-11,-1.4880171614189048e-10,2.8849902090367548e-14,1.7845030916278814e-10
-7.8500936914428481e+00,-9.0083566231304790e-11,-1.5603822014954044e-10,3.1205939373477196e-14,1.8019045010990370e-10
-7.8400999375390379e+00,-8.1309284257224764e-11,-1.6262203452376156e-10,3.3751012205690315e-14,1.8183128306067497e-10
-7.8301061836352277e+00,-7.2185580160105505e-11,-1.6852529064375708e-10,3.6500008736589032e-14,1.8334885451094984e-10
-7.8201124297314175e+00,-6.2749706354439501e-11,-1.7372280271583491e-10,3.9468966963380393e-14,1.8472166283624336e-10
-7.8101186758276073e+00,-5.3040151987577443e-11,-1.7819201994828429e-10,4.2675161717741347e-14,1.8593058519622773e-10
-7.8001249219237980e+00,-4.3096920935165737e-11,-1.8191386941784447e-10,4.6137198090283918e-14,1.8695983352491004e-10
-7.7901311680199878e+00,-3.2960351835767210e-11,-1.8487213254607558e-10,4.9875111758034166e-14,1.8779611411118404e-10
-7.7801374141161777e+00,-2.2671854404462622e-11,-1.8705353059844271e-10,5.3910476713120044e-14,1.8842898847782690e-10
-7.7701436602123675e+00,-1.2272950764102698e-11,-1.8844851340693742e-10,5.8266520925938131e-14,1.8885153196364402e-10
-7.7601499063085573e+00,-1.8055380293743606e-12,-1.8905064013623472e-10,6.2968250513512409e-14,1.8905987372162848e-10
-7.7501561524047471e+00,8.6875618642835973e-12,-1.8885665568365686e-10,6.8042583023795025e-14,1.8905325310254604e-10
-7.7401623985009369e+00,1.9163886349405688e-11,-1.8786683905643407e-10,7.3518490489403922e-14,1.8883429604297214e-10
-7.7301686445971267e+00,2.9580567638641155e-11,-1.8608478455488600e-10,7.9427152949953021e-14,1.8840876925662147e-10
-7.7201748906933165e+00,3.9895264922744794e-11,-1.8351741515485515e-10,8.5802123190910688e-14,1.8778560912250046e-10
-7.7101811367895063e+00,5.0066478386767072e-11,-1.8017498371004062e-10,9.2679503498981038e-14,1.8697701818602928e-10
-7.7001873828856962e+00,6.0052557758298179e-11,-1.7607115747418613e-10,1.0009813528961628e-13,1.8599825243573693e-10
-7.6901936289818860e+00,6.9812998976876833e-11,-1.7122266979249237e-10,1.0809980252162782e-13,1.8486745419293225e-10
-7.6801998750780758e+00,7.9307669605261018e-11,-1.6564915031225495e-10,1.1672944987721665e-13,1.8360513609881837e-10
-7.6702061211742665e+00,8.8497287750499777e-11,-1.5937362728724045e-10,1.2603541675338782e-13,1.8223455027443865e-10
-7.6602123672704563e+00,9.7343993998673786e-11,-1.5242180359447683e-10,1.3606968818288179e-13,1.8078104646158955e-10
-7.6502186133666461e+00,1.0581137081546968e-10,-1.4482211568743456e-10,1.4688816387975826e-13,1.7927193892579180e-10
-7.6402248594628359e+00,1.1386453992478092e-10,-1.3660593023187496e-10,1.5855094668696374e-13,1.7773641186881856e-10
-7.6302311055590257e+00,1.2147000808100913e-10,-1.2780681734224379e-10,1.7112265179085519e-13,1.7620443287705420e-10
-7.6202373516552155e+00,1.2859601951067358e-10,-1.1846076782042744e-10,1.8467273816115346e-13,1.7470668989061539e-10
-7.6102435977514054e+00,1.3521258531385590e-10,-1.0860620308147733e-10,1.9927586377454890e-13,1.7327406348452305e-10
-7.6002498438475952e+00,1.4129178018389944e-10,-9.8283367874429745e-11,2.1501226628651278e-13,1.7193683388622844e-10
-7.5902560899437850e+00,1.4680828231060039e-10,-8.7534283283786880e-11,2.3196817092928187e-13,1.7072453431413365e-10
