sweep,max_bond_dimension,bond_1_2,bond_2_3,bond_3_4,bond_4_5,bond_5_6,bond_6_7,bond_7_8,bond_8_9,bond_9_10,bond_10_11,bond_11_12,bond_12_13,bond_13_14,bond_14_15,bond_15_16,bond_16_17,bond_17_18,bond_18_19,bond_19_20
1,8,2,4,7,8,7,7,6,6,6,5,7,8,8,7,7,6,7,4,2
2,19,2,3,6,8,10,12,16,16,16,15,14,18,19,19,16,14,8,4,2
3,6,2,2,2,2,3,3,4,4,5,3,4,5,5,5,5,6,6,4,2
4,6,2,2,2,2,3,3,4,4,5,3,4,5,5,5,5,5,6,4,2
5,6,2,2,2,2,3,3,4,4,5,3,4,5,5,5,5,5,6,4,2
6,6,2,2,2,2,3,3,4,4,5,3,4,5,5,5,5,5,6,4,2
7,6,2,2,2,2,3,3,4,4,5,3,4,5,5,5,5,5,6,4,2
8,6,2,2,2,2,3,3,4,4,5,3,4,5,5,5,5,5,6,4,2
9,6,2,2,2,2,3,3,4,4,5,3,4,5,5,5,5,5,6,4,2
10,6,2,2,2,2,3,3,4,4,5,3,4,5,5,5,5,5,6,4,2
11,6,2,2,2,2,3,3,4,4,5,3,4,5,5,5,5,5,6,4,2
12,6,2,2,2,2,3,3,4,4,5,3,4,5,5,5,5,5,6,4,2
13,6,2,2,2,2,3,3,4,4,5,3,4,5,5,5,5,5,6,4,2
14,6,2,2,2,2,3,3,4,4,5,3,4,5,5,5,5,5,6,4,2
15,6,2,2,2,2,3,3,4,4,5,3,4,5,5,5,5,5,6,4,2
16,6,2,2,2,2,3,3,4,4,5,3,4,5,5,5,5,5,6,4,2
17,6,2,2,2,2,3,3,4,4,5,3,4,5,5,5,5,5,6,4,2
18,6,2,2,2,2,3,3,4,4,5,3,4,5,5,5,5,5,6,4,2
19,6,2,2,2,2,3,3,4,4,5,3,4,5,5,5,5,5,6,4,2
20,6,2,2,2,2,3,3,4,4,5,3,4,5,5,5,5,5,6,4,2
