x,y,numerical_real,numerical_imag,exact,error_abs
-8.0000000000000000e+00,-8.0000000000000000e+00,-2.0592500091875171e-19,1.8258890098937514e-17,9.0485339842799213e-29,1.8260051280079118e-17
-7.8677685950413228e+00,-8.0000000000000000e+00,-8.3247736691189348e-18,2.3752297780415508e-17,2.5834515846411784e-28,2.5168899588497878e-17
-7.7355371900826446e+00,-8.0000000000000000e+00,8.8596415469693969e-19,1.2474572941911129e-17,7.2481760023640762e-28,1.2505994665166974e-17
-7.6033057851239674e+00,-8.0000000000000000e+00,-1.0040778211127483e-17,2.0661838009912042e-17,1.9983126248189555e-27,2.2972348096636262e-17
-7.4710743801652892e+00,-8.0000000000000000e+00,5.7475445252375696e-19,1.2016647950757673e-17,5.4138277278604997e-27,1.2030385307500389e-17
-7.3388429752066120e+00,-8.0000000000000000e+00,-5.7869534004377562e-18,1.3553740775208844e-17,1.4412911842345775e-26,1.4737459714184485e-17
-7.2066115702479339e+00,-8.0000000000000000e+00,-1.1245268907878746e-17,2.0957159106997341e-17,3.7705554043008103e-26,2.3783578189467711e-17
-7.0743801652892566e+00,-8.0000000000000000e+00,-8.5654583024335756e-18,2.7341457280037988e-17,9.6931564258395607e-26,2.8651742770508695e-17
-6.9421487603305785e+00,-8.0000000000000000e+00,-1.8310669535291428e-17,2.2885913603896702e-17,2.4486765052267934e-25,2.9309480877065277e-17
-6.8099173553719012e+00,-8.0000000000000000e+00,-1.4035344638634821e-17,2.4275314223759926e-17,6.0786047542157956e-25,2.8040716767775372e-17
-6.6776859504132231e+00,-8.0000000000000000e+00,-6.6365255177451002e-18,3.0225397402203061e-17,1.4828004010453765e-24,3.0945405777757593e-17
-6.5454545454545459e+00,-8.0000000000000000e+00,-1.5049184090017673e-17,2.8269603575491111e-17,3.5544121311418460e-24,3.2025748001766930e-17
-6.4132231404958677e+00,-8.0000000000000000e+00,-1.2175909441485995e-17,2.3670176754959357e-17,8.3725773484454686e-24,2.6618231388013803e-17
-6.2809917355371905e+00,-8.0000000000000000e+00,-1.7794459362166952e-17,3.0471842882580837e-17,1.9380137434271475e-23,3.5287061118362000e-17
-6.1487603305785123e+00,-8.0000000000000000e+00,-2.2367972656037527e-17,2.9668303045981881e-17,4.4081953785258444e-23,3.7155569951479377e-17
-6.0165289256198351e+00,-8.0000000000000000e+00,-2.3651475150241865e-17,3.5094640646369684e-17,9.8530597309187145e-23,4.2320571117105538e-17
-5.8842975206611570e+00,-8.0000000000000000e+00,-3.9995123442345726e-17,4.2362482577536783e-17,2.1641516717014830e-22,5.8259824411424953e-17
-5.7520661157024797e+00,-8.0000000000000000e+00,-6.6869140896148463e-17,3.7249043929921313e-17,4.6710075750510427e-22,7.6544338440887186e-17
-5.6198347107438016e+00,-8.0000000000000000e+00,-1.2261893170357693e-16,6.2418923777053179e-17,9.9069448866501918e-22,1.3759275930946802e-16
-5.4876033057851243e+00,-8.0000000000000000e+00,-2.4389569871290713e-16,9.6681906775233947e-17,2.0647868259904841e-21,2.6236141129721567e-16
