sweep,max_bond_dimension,bond_1_2,bond_2_3,bond_3_4,bond_4_5,bond_5_6,bond_6_7,bond_7_8,bond_8_9,bond_9_10,bond_10_11,bond_11_12,bond_12_13,bond_13_14,bond_14_15,bond_15_16
1,8,2,4,8,8,7,8,7,8,8,8,8,8,7,4,2
2,14,2,4,8,11,12,10,10,9,12,14,13,13,8,4,2
3,12,2,4,8,10,10,11,6,9,11,12,12,10,6,4,2
4,12,2,4,7,9,7,9,6,7,12,10,10,8,5,4,2
5,13,2,4,8,7,8,8,8,7,13,9,10,7,6,4,2
6,10,2,4,7,9,8,8,7,8,10,9,8,7,5,4,2
7,10,2,4,7,7,8,10,8,7,9,9,7,6,5,4,2
8,12,2,4,6,8,6,10,7,6,9,12,7,4,2,2,2
9,8,2,4,5,5,5,6,6,4,6,8,4,3,2,2,2
10,7,2,4,5,4,4,5,6,4,6,7,5,4,2,2,2
11,7,2,4,4,3,3,3,4,3,5,6,7,5,3,2,2
12,7,2,4,4,2,2,3,4,3,6,7,7,6,4,2,2
13,5,2,4,4,2,2,2,2,3,3,5,5,3,3,2,2
14,5,2,4,4,2,2,2,2,2,4,4,5,3,3,2,2
15,5,2,4,4,2,2,2,2,1,2,4,5,4,2,2,2
16,4,2,4,4,2,2,2,2,1,2,4,4,2,2,2,2
17,4,2,4,4,2,2,2,2,1,2,4,4,2,2,2,2
18,4,2,4,4,2,2,2,2,1,2,4,4,2,2,2,2
19,4,2,4,4,2,2,2,2,1,2,4,4,2,2,2,2
20,4,2,4,4,2,2,2,2,1,2,4,4,2,2,2,2
