x,numerical_real,numerical_imag,exact,error_abs
-8.0000000000000000e+00,-1.5987303196279557e-10,-6.9110832969994221e-15,9.5123782432575298e-15,1.5988254449040808e-10
-7.9900062460961898e+00,-1.5953453260912432e-10,-1.2231832490778827e-11,1.0303606886800393e-14,1.6001303849773084e-10
-7.9800124921923796e+00,-1.5852791384851303e-10,-2.4405265042825337e-11,1.1159534400249766e-14,1.6040652963929902e-10
-7.9700187382885694e+00,-1.5685730763504676e-10,-3.6476455331970536e-11,1.2085357297792242e-14,1.6105445740920018e-10
-7.9600249843847593e+00,-1.5452997142884584e-10,-4.8395044627537797e-11,1.3086681680397272e-14,1.6194331463402515e-10
-7.9500312304809491e+00,-1.5155557311337747e-10,-6.0111077023070372e-11,1.4169554883853541e-14,1.6305437275153480e-10
-7.9400374765771389e+00,-1.4794610908741411e-10,-7.1575510042326812e-11,1.5340499521247043e-14,1.6436436414772650e-10
-7.9300437226733296e+00,-1.4371633886545055e-10,-8.2740631188533848e-11,1.6606550097028690e-14,1.6584683188805797e-10
-7.9200499687695194e+00,-1.3888335900884481e-10,-9.3559787779609415e-11,1.7975292382616972e-14,1.6747242925337557e-10
-7.9100562148657092e+00,-1.3346674452606993e-10,-1.0398790275308103e-10,1.9454905757173327e-14,1.6921007463427750e-10
-7.9000624609618990e+00,-1.2748862135005018e-10,-1.1398156130511637e-10,2.1054208731854237e-14,1.7102781551156485e-10
-7.8900687070580888e+00,-1.2097323112146572e-10,-1.2349880950904324e-10,2.2782707891523904e-14,1.7289300538987967e-10
-7.8800749531542786e+00,-1.1394697720717193e-10,-1.3249965043496708e-10,2.4650650504703224e-14,1.7477325116251975e-10
-7.8700811992504685e+00,-1.0643828132713036e-10,-1.4094649058129240e-10,2.6669081070486066e-14,1.7663719560897421e-10
-7.8600874453466583e+00,-9.8477343182999173e-11,-1.4880384190684788e-10,2.8849902090367548e-14,1.7845462572417428e-10
-7.8500936914428481e+00,-9.0096416610818951e-11,-1.5603866655744126e-10,3.1205939373477196e-14,1.8019726359624413e-10
