sweep,max_bond_dimension,bond_1_2,bond_2_3,bond_3_4,bond_4_5,bond_5_6,bond_6_7,bond_7_8,bond_8_9,bond_9_10
1,8,2,4,8,7,7,6,6,4,2
2,9,2,4,8,9,9,8,8,4,2
3,11,2,4,8,11,7,7,7,4,2
4,9,2,4,8,9,7,4,2,2,2
5,7,2,4,7,6,6,4,2,2,2
6,6,2,4,5,6,5,4,2,2,2
7,6,2,4,6,4,2,2,2,2,2
8,4,2,4,4,2,2,2,2,2,2
9,4,2,4,4,2,2,2,2,2,2
10,4,2,4,4,2,2,2,2,2,2
11,4,2,4,4,2,2,2,2,2,2
12,4,2,4,4,2,2,2,2,2,2
13,4,2,4,4,2,2,2,2,2,2
14,4,2,4,4,2,2,2,2,2,2
15,4,2,4,4,2,2,2,2,2,2
16,4,2,4,4,2,2,2,2,2,2
17,4,2,4,4,2,2,2,2,2,2
18,4,2,4,4,2,2,2,2,2,2
19,4,2,4,4,2,2,2,2,2,2
20,4,2,4,4,2,2,2,2,2,2
