sweep,max_bond_dimension,bond_1_2,bond_2_3,bond_3_4,bond_4_5,bond_5_6,bond_6_7,bond_7_8,bond_8_9,bond_9_10,bond_10_11,bond_11_12,bond_12_13,bond_13_14,bond_14_15,bond_15_16
1,12,2,4,5,7,10,10,11,6,12,12,12,9,7,4,2
2,12,2,4,5,6,8,9,10,6,10,12,11,9,6,4,2
3,11,2,4,5,6,8,9,10,6,10,11,11,9,6,4,2
4,11,2,4,5,6,8,9,10,6,10,11,11,9,6,4,2
5,11,2,4,5,6,8,9,10,6,10,11,11,9,6,4,2
6,11,2,4,5,6,8,9,10,6,10,11,11,9,6,4,2
7,11,2,4,5,6,8,9,10,6,10,11,11,9,6,4,2
8,11,2,4,5,6,8,9,10,6,10,11,11,9,6,4,2
9,11,2,4,5,6,8,9,10,6,10,11,11,9,6,4,2
10,11,2,4,5,6,8,9,10,6,10,11,11,9,6,4,2
11,11,2,4,5,6,8,9,10,6,10,11,11,9,6,4,2
12,11,2,4,5,6,8,9,10,6,10,11,11,9,6,4,2
13,11,2,4,5,6,8,9,10,6,10,11,11,9,6,4,2
14,11,2,4,5,6,8,9,10,6,10,11,11,9,6,4,2
15,11,2,4,5,6,8,9,10,6,10,11,11,9,6,4,2
16,11,2,4,5,6,8,9,10,6,10,11,11,9,6,4,2
17,11,2,4,5,6,8,9,10,6,10,11,11,9,6,4,2
18,11,2,4,5,6,8,9,10,6,10,11,11,9,6,4,2
19,11,2,4,5,6,8,9,10,6,10,11,11,9,6,4,2
20,11,2,4,5,6,8,9,10,6,10,11,11,9,6,4,2
