x,y,numerical_real,numerical_imag,exact,error_abs
-8.0000000000000000e+00,-8.0000000000000000e+00,1.0799478578257788e-17,2.1402401046594017e-17,9.0485339842799225e-29,2.3972724253191233e-17
-7.8677685950413228e+00,-8.0000000000000000e+00,6.6065543329457624e-18,1.7516587612439978e-17,2.5834515846411789e-28,1.8721041684025935e-17
-7.7355371900826446e+00,-8.0000000000000000e+00,-3.2820782436619787e-17,2.0882299892101364e-18,7.2481760023640771e-28,3.2887147402706492e-17
-7.6033057851239665e+00,-8.0000000000000000e+00,-5.9339885407292228e-17,-9.0306382334971999e-18,1.9983126248189698e-27,6.0023115774608314e-17
-7.4710743801652892e+00,-8.0000000000000000e+00,-7.4359390219472506e-17,-1.0658836692890379e-17,5.4138277278605004e-27,7.5119436328174271e-17
-7.3388429752066120e+00,-8.0000000000000000e+00,-6.7745276798341509e-17,-2.0033321322980760e-17,1.4412911842345778e-26,7.0645286422142254e-17
-7.2066115702479339e+00,-8.0000000000000000e+00,-4.0524497687942272e-17,-6.0001464746685398e-18,3.7705554043008109e-26,4.0966287037434977e-17
-7.0743801652892557e+00,-8.0000000000000000e+00,-1.1785783876476216e-17,2.9454143009447528e-17,9.6931564258396307e-26,3.1724615746905784e-17
-6.9421487603305785e+00,-8.0000000000000000e+00,-2.6272184279177960e-17,3.7862575020660063e-17,2.4486765052267939e-25,4.6084729215441998e-17
-6.8099173553719012e+00,-8.0000000000000000e+00,-1.5943514858453664e-17,5.3774514325009987e-17,6.0786047542157965e-25,5.6088270398678746e-17
-6.6776859504132231e+00,-8.0000000000000000e+00,-4.8612545634339275e-17,2.1467303235553136e-17,1.4828004010453766e-24,5.3141554789291921e-17
-6.5454545454545450e+00,-8.0000000000000000e+00,-6.7379177677983645e-17,-6.5900289061224793e-18,3.5544121311418975e-24,6.7700683486443219e-17
-6.4132231404958677e+00,-8.0000000000000000e+00,-1.2572021578357994e-16,-2.9245346916998998e-17,8.3725773484454701e-24,1.2907697346223320e-16
-6.2809917355371905e+00,-8.0000000000000000e+00,-2.2699652884725864e-16,-5.5874250330563455e-17,1.9380137434271478e-23,2.3377203587502727e-16
-6.1487603305785123e+00,-8.0000000000000000e+00,-5.0818300064141132e-16,-8.7210809069439788e-17,4.4081953785258450e-23,5.1561199769095359e-16
-6.0165289256198342e+00,-8.0000000000000000e+00,-1.1550981896068857e-15,-1.8411118005776743e-16,9.8530597309187862e-23,1.1696790080532381e-15
-5.8842975206611570e+00,-8.0000000000000000e+00,-2.5580420425186314e-15,-4.1709572903444332e-16,2.1641516717014835e-22,2.5918234981707193e-15
-5.7520661157024797e+00,-8.0000000000000000e+00,-5.5679069421463185e-15,-9.6009032574047802e-16,4.6710075750510436e-22,5.6500766677567260e-15
-5.6198347107438016e+00,-8.0000000000000000e+00,-1.1819280922029047e-14,-2.1020534030080561e-15,9.9069448866501937e-22,1.2004751286117155e-14
-5.4876033057851235e+00,-8.0000000000000000e+00,-2.4568386117225103e-14,-4.4081075960717813e-15,2.0647868259904991e-21,2.4960711336830309e-14
-5.3553719008264462e+00,-8.0000000000000000e+00,-5.0236469182355265e-14,-9.0402693587363180e-15,4.2287985072407920e-21,5.1043410258994907e-14
-5.2231404958677690e+00,-8.0000000000000000e+00,-1.0104355272551931e-13,-1.8148657895612765e-14,8.5106957003249242e-21,1.0266048436817703e-13
-5.0909090909090908e+00,-8.0000000000000000e+00,-1.9976206764029322e-13,-3.5862333269193648e-14,1.6831368600509401e-20,2.0295565362899863e-13
-4.9586776859504127e+00,-8.0000000000000000e+00,-3.8821153343178842e-13,-6.9694573808830403e-14,3.2709966368534021e-20,3.9441799363698983e-13
-4.8264462809917354e+00,-8.0000000000000000e+00,-7.4141445895739811e-13,-1.3313952759216508e-13,6.2466484087146980e-20,7.5327393847502060e-13
-4.6942148760330582e+00,-8.0000000000000000e+00,-1.3913895859254328e-12,-2.4989570979689631e-13,1.1722502271698536e-19,1.4136524225593813e-12
-4.5619834710743801e+00,-8.0000000000000000e+00,-2.5658746405365046e-12,-4.6086794682143991e-13,2.1617222215306596e-19,2.6069355658890838e-12
-4.4297520661157019e+00,-8.0000000000000000e+00,-4.6496689128780164e-12,-8.3518218724695577e-13,3.9172902042421016e-19,4.7240823371422621e-12
