sweep,max_bond_dimension,bond_1_2,bond_2_3,bond_3_4,bond_4_5,bond_5_6,bond_6_7,bond_7_8,bond_8_9,bond_9_10,bond_10_11,bond_11_12,bond_12_13,bond_13_14,bond_14_15,bond_15_16
1,8,2,4,8,8,7,8,7,8,8,8,8,8,7,4,2
2,15,2,4,8,13,11,10,10,10,12,15,13,13,8,4,2
3,13,2,4,8,9,9,10,7,9,11,13,12,8,6,4,2
4,12,2,4,7,8,8,9,8,8,12,10,11,9,8,4,2
5,11,2,4,7,9,5,7,5,7,11,10,9,7,5,3,2
6,10,2,4,8,8,4,6,4,7,9,10,9,6,4,3,2
7,10,2,4,8,8,4,6,4,6,7,10,9,6,3,3,2
8,10,2,4,8,8,5,7,4,6,7,10,8,7,4,3,2
9,9,2,4,7,7,6,6,4,6,6,9,6,5,4,3,2
10,9,2,4,8,9,5,6,4,5,6,7,5,4,4,3,2
11,7,2,4,6,6,4,5,4,5,6,7,5,4,3,3,2
12,6,2,4,5,4,4,4,4,5,6,6,5,3,3,3,2
13,7,2,4,4,3,3,3,4,4,6,7,6,4,2,2,2
14,8,2,4,4,3,3,3,3,4,6,6,8,6,3,2,2
15,6,2,4,4,2,2,2,3,4,6,5,6,5,3,2,2
16,6,2,4,4,2,2,2,2,3,6,4,5,5,3,2,2
17,4,2,4,4,2,2,2,2,1,3,4,4,2,2,2,2
18,4,2,4,4,2,2,2,2,1,2,4,4,2,2,2,2
19,4,2,4,4,2,2,2,2,1,2,4,4,2,2,2,2
20,4,2,4,4,2,2,2,2,1,2,4,4,2,2,2,2
